看过,2011-02-04 14:14:05,5.0,739,"很早以前看黑镜头就知道这段历史了
片中还是侧重于胡图族对图西族的屠杀
但实际上 在图西族控制的地区 
对胡图族也发生着同样的杀戮
这是一场无法说清的事实
事实没有真相
只有荒谬的让人不可理解
人们用最原始的武器棍棒刀叉去和自己的邻居搏命
只因为他们觉得 不杀死对方对方就会来杀自己"
看过,2009-08-19 23:14:33,5.0,830,我不再抱怨我生在中国，我不再抱怨我生在80年代。只希望人类自毁灭亡的那天能来得再晚些。任何敢凌驾于生命之上的东西都是狗屎。
看过,2010-03-23 00:28:28,5.0,1075,我们看了那些屠杀的镜头 然后继续吃大餐
看过,2008-12-12 23:05:04,5.0,381,我所听过的最美的片尾曲，震撼心灵的人性故事，愿真善永存，苦难和邪恶远离所有人
看过,2008-10-06 21:48:40,4.0,467,当这个世界闭上双眼，他却敞开了怀抱。
看过,2006-10-07 11:11:05,5.0,190,一部会让我们灵魂受到强烈震颤的电影。通过饭店经理保罗在大屠杀中的经历，来纪念和反思人性中永恒的东西。虽然没有对大屠杀全景式的再现，却用深刻的心理描画使得观众的心灵受到同等的冲击。电影并非单纯的赞扬保罗，而是深沉的纪念普通人在灭绝人性的灾难中散发出的光辉，不仅仅是保罗。电影成功的做到了不忘记历史的目的.但这十年里，发生在非洲大陆上的、视生命如草芥的屠杀，从来便没有停歇过--谁又将见证，新的苦难与创伤？他们被世界遗忘了。
看过,2008-09-22 00:10:23,4.0,350,屠杀纵然可怕，但更可怕的是对屠杀的漠视。
看过,2007-08-19 15:17:17,5.0,248,卢旺达的孩子们从神职人员身边被拽开时，随着背景音乐，眼泪忍不住打转◎◎基于背景值得一看!
看过,2005-10-26 19:03:51,5.0,280,当电影成为我们铭记历史的唯一方式　是幸或不幸
看过,2010-12-19 23:48:41,4.0,164,电影没有什么花哨精巧的剪辑，有的只是质朴之中最撼动人心的真实。一个真实的故事一个真正的人间炼狱。当世界遗忘他们，国家陷入疯狂的时候，一个比辛德勒更加艰辛的男人在一个人人力求自保的环境下敞开了他的双臂。记住他的名字——保罗·卢斯萨巴基纳。★★★★☆
看过,2010-09-30 23:09:49,4.0,104,     记者和保罗对话，对于外国观众看到图西族遭受的惨象后所可能的反应作出的揣测，令我想起《关于他人的痛苦》，苏珊·桑塔格在书中提到，我们看多了反映苦难的照片，就会在某种层面上以为自己真的帮助了那些身陷囫囵的人。当然这是一句题外话，但与我们切身相关。
看过,2011-06-29 09:26:54,3.0,78,以剧情片类型来拍种族灭绝的题材，总觉得轻飘和虚假。失分还在于单线，一个西方度假饭店经理的独角戏，再如何渲染，也显得单薄。最后小团圆的包袱吊了一大半时间，终于解开，也太模式化了。最有价值的是借此了解了屠杀背景和胡图图西的殖民地渊源。
看过,2008-10-18 00:54:28,5.0,134,记着人世的罪恶，也记着在罪恶中的人性光芒
看过,2008-01-29 03:36:48,2.0,83,完全的西方意识形态主导，立场和企图都值得推敲怀疑。单从艺术上也最多值3星。
看过,2007-09-13 16:37:24,5.0,64,堪与辛德勒名单媲美的影片
看过,2008-08-02 21:52:12,3.0,27,战争、人性、情感、孩子，非洲题材的电影都快拍成套路了。注：在《十一罗汉》里看到滑稽版的唐·钱德尔，感觉很奇妙~~
看过,2006-10-31 23:30:30,3.0,20,一直在期待那段经典音乐出现，结果出现了，感人指数又没跟上来，导致看完感觉平平。晕勒个去~
看过,2016-03-21 21:32:59,5.0,28,人祸最惨。可我们看完新闻，还是会安心的吃完晚餐。
看过,2013-12-04 21:54:27,3.0,11,#250#“天啦，太恐怖了，然后我们继续吃晚饭”这句最切中要害，题材感人，不过就艺术手法来说真是一般般~所以一般般就是，我们只能从外部（镜头）获得信息，那是导演的意图，我们可以不动大脑盯着屏幕看完两小时，留下的或许只是那一句震撼的话，思考的权利被剥夺了。
看过,2016-08-16 21:46:31,0,11,桥段挺家庭剧的 非常主旋律政宣片 摄制上扬长避短 绕开了很多需要花钱的场面 如能在两个民族为什么走到这一步这一点上挖透 应该会是一部经典 以及这种事面前商人永远最有行动力 商业伟大啊真是
看过,2008-12-05 23:05:03,4.0,7,这种历史不应该被遗忘，在欧洲人用辛特勒名单纪念犹太屠杀的时候，非洲也同样有卢旺达饭店记录着感人的大救援。没有惨烈的屠杀与交火镜头，然而带给人的感动是那么真实，那种真实的生的欲望与善的本性。男主角在这部电影中的表演非常精湛，完全投入，彻底地让人记住了这样一位英雄。至于里面杀人工具砍刀来自中国的场景，也只有对于中国制造的一种无奈。
